id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
1,Artificial Intelligence for Urban Safety: A Case Study for reducing road accident in Genoa,Marceddu A.,2024-05-31,48,131-138,10.5194/isprs-archives-XLVIII-4-W10-2024-131-2024,SCOPUS_ID:85196747849
2,Geographic Information System And Machine Learning-Based Expressway Accident Modelling,Dilshara M.K.H.,2024-01-01,,,,SCOPUS_ID:85217759363
3,"A web-based geographic information system monitoring wildlife diseases in Abruzzo and Molise regions, Southern Italy",Di Lorenzo A.,2023-12-01,19,,10.1186/s12917-023-03727-9,SCOPUS_ID:85173032067
4,A GIS-Based Damage Evaluation Method for Explosives Road Transportation Accidents,Zhao J.,2023-12-01,12,,10.3390/ijgi12120470,SCOPUS_ID:85180691743
5,Geo VISER: A Geospatial Data Visualization Platform,Yulong B.,2022-01-01,,1318-1325,10.1109/PRAI55851.2022.9904184,SCOPUS_ID:85141216684
6,Web-GIS application using multi-attribute utility theory to classify accident-prone roads,Vitianingsih A.,2018-01-01,10,83-89,,SCOPUS_ID:85048543102
7,"2017 International Symposium on Geoinformatics, ISyG 2017",,2017-07-02,2018-January,,,SCOPUS_ID:85172546792
8,Web GIS research and application based on SVG,Wang P.,2014-03-12,513-517,2004-2007,10.4028/www.scientific.net/AMM.513-517.2004,SCOPUS_ID:84897676648
9,Spatial analytics for Rancho Cucamonga: A city on a map,Alrwais O.A.,2014-01-01,16,40-49,10.4018/jcit.2014010104,SCOPUS_ID:84928005561
10,Rescue systematic feasibility study in road traffic based on WebGIS,Chen Y.,2014-01-01,56,417-424,10.2495/ICCTS140471,SCOPUS_ID:84908687271
11,A web-based geospatial toolkit for the monitoring of dengue fever,Delmelle E.,2014-01-01,52,144-152,10.1016/j.apgeog.2014.05.007,SCOPUS_ID:84902006307
12,Review on monitoring systems of the road network,El Houssaini S.,2013-06-05,5,1942-1954,,SCOPUS_ID:84878419055
13,The research of vehicle information monitoring system based on WEBGIS,Hu C.,2011-12-01,3,1887-1890,10.1109/ICCSNT.2011.6182338,SCOPUS_ID:84860643503
14,Green score: Developing a measurement model for sustainable pedestrian-friendly environment based on space syntax,Joo Y.,2011-12-01,,385-390,,SCOPUS_ID:84863738068
15,Road safety analysis using web-based collaborative GIS,Pirotti F.,2010-01-01,38,,,SCOPUS_ID:84923923822
16,A web-GIS for the choice of the path in regional greenways,Salvo G.,2010-01-01,139,123-130,10.2495/ST100111,SCOPUS_ID:78549235482
17,Vehicle-used automatic alarming system based on MEMS accelerometer,Xu Y.,2009-06-01,22,887-892,,SCOPUS_ID:70350324792
18,Web GIS management and risk evaluation of a road slope using a terrestrial LiDAR,Kwak Y.,2006-06-14,3833 LNCS,256-266,,SCOPUS_ID:33744921630
